Workload,IPC,MPKI,Write-Read-Ratio
wrf,0.4169733293807467,19.301157021729917,0.37421388237274805
perlbench,2.6271244825055606,0.062179974818963014,0.000583606689340122
roms,0.7769546682735312,7.9741752285939445,0.34680755249709344
gcc,0.2871499564505359,17.793802248240077,0.0013754182176243497
cam4,1.0785959091217514,5.6778244219141625,0.6948407735147282
cactubssn,1.2261216460369426,6.351285962985305,0.13863193636495869
exchange2,3.5237491661065783,8.999999775000006e-05,0.0
leela,2.853374216482132,0.017686246883762916,0.003973603916838146
nab,3.1591246487301623,0.16325495565371867,0.0671812354267509
x264,3.247499923017706,0.15105374687030373,0.035742409297005166
lbm,0.25818569279709336,33.818005536447984,0.7502820569487749
xz,1.7093732558949817,2.0778061082262274,0.7849060426549146
imagick,3.4497498006707823,0.03907874623316926,0.0
omnetpp,0.497812306917489,12.027154327931056,0.4831963330656092
pop2,1.2486152092754237,4.3650043789221025,0.4897605262508797
bwaves,0.6022144251706035,16.48957131154019,0.4375463709540054
mcf,0.7858941846113133,15.163830553101363,0.06944146551078345
fotonik3d,0.4014604424007205,18.18371556000194,0.5600335362624302
xalancbmk,1.6182497296103677,1.989564656146013,0.8224849531846093
deepsjeng,2.535499802741878,0.29542191344052443,0.24005780558299492

bfscc,0.572822892177212,19.089054246442352,0.026770936466903778
triangle,0.7104055805328631,8.844897723858752,0.8193769726755125
pagerankdelta,0.4000998187249329,19.406380698401843,0.4282188982850815
bfs-bitvector,0.5580120239403006,16.91319838227118,0.028985485775078812
components-shortcut,0.38808432140563187,37.16075932264533,0.011791401890886547
radii,0.21561192587221273,44.77922082033581,0.36069571646733795
bc,0.3098249535940413,25.445141431616943,0.7723410776048408
cf,0.3112248976217485,16.112449312991732,0.9969225954557529
mis,0.4271648617964208,19.415664367957003,0.5494939834703265
bfs,0.6050111066949867,16.746727017471976,0.08976973984616812
components,0.37413756199744774,40.4844530231174,0.0027751200838999268
pagerank,0.28614488514173736,36.44478907374356,0.29821217233098485
bellmanford,0.34534995657522594,29.444693615875956,0.10998822456092563

scale,0.25149932380515677,41.77105581421031,0.5000040099429828
add,0.18351167423185025,62.806779631363455,0.3328075762516937
copy,0.21384678246866204,50.38125255755026,0.5000149979125734
triad,0.21252406013032582,53.81141448575321,0.3336914651667933

